seq_index;Pgen_estimate
448;1.27384e-10
447;7.58032e-10
446;1.49306e-07
444;5.00468e-13
445;3.10736e-11
443;8.95313e-10
442;1.75861e-11
439;4.04715e-11
440;3.98739e-09
437;1.54755e-10
441;2.30098e-08
438;1.08699e-09
436;6.74913e-09
433;1.36755e-11
434;5.54072e-12
432;5.92052e-10
431;2.01622e-10
430;2.74783e-10
429;1.03858e-12
428;3.87879e-10
427;6.90147e-09
425;8.65183e-09
426;3.13191e-11
424;6.58735e-10
422;2.53497e-10
435;7.36582e-11
423;6.91958e-11
421;3.86915e-09
419;5.69035e-10
416;1.43995e-11
420;2.89624e-09
417;3.96457e-11
418;9.0108e-09
415;4.27932e-08
414;5.01701e-15
413;2.36305e-13
412;2.3267e-14
411;7.32673e-08
407;nan
410;3.45851e-09
409;1.57722e-09
406;5.9497e-10
408;1.55031e-09
401;nan
403;1.32226e-10
404;1.97333e-09
405;5.38138e-15
402;5.57124e-11
400;1.66372e-08
397;2.56877e-13
398;1.92654e-08
395;1.74598e-08
396;2.14056e-11
394;2.84026e-09
393;3.8772e-12
391;5.31161e-10
399;1.03792e-13
390;2.35618e-14
386;2.32421e-10
387;2.63614e-09
392;2.43777e-12
389;2.60354e-13
383;1.0462e-19
385;1.81328e-15
381;5.1022e-12
380;6.13632e-10
382;1.77988e-08
379;8.486e-10
378;3.19615e-08
377;5.05951e-10
376;8.87218e-11
373;3.79982e-10
374;7.75135e-10
375;1.01374e-08
384;2.39381e-08
372;7.44515e-09
371;5.53799e-13
370;3.72074e-12
367;1.91406e-08
369;1.49788e-12
364;2.27469e-13
368;2.39735e-11
366;4.88181e-12
363;2.82601e-13
365;2.76223e-09
362;8.26674e-12
360;5.63393e-10
359;1.91714e-11
358;7.92528e-11
356;3.12228e-09
357;3.06041e-10
355;1.05692e-12
361;6.11329e-11
354;2.85136e-13
353;2.85617e-09
351;2.46132e-09
350;1.08644e-10
352;7.56321e-14
345;nan
344;nan
349;6.10365e-09
346;1.02287e-13
348;4.60948e-08
347;1.75458e-09
342;4.83315e-08
341;1.8546e-12
340;8.68096e-12
338;3.82355e-15
337;5.964e-10
336;3.30255e-10
164;2.00355e-09
339;4.28851e-09
343;1.44034e-09
165;1.46715e-16
163;1.80845e-09
162;5.50335e-08
161;1.38979e-10
160;1.90091e-08
159;2.43191e-12
158;1.63071e-09
155;1.4359e-08
153;8.42596e-09
156;7.64213e-09
157;2.38853e-11
154;5.78096e-09
150;8.08432e-11
152;2.82816e-10
151;4.80043e-11
149;2.4557e-13
148;5.82138e-09
146;1.61689e-09
147;2.67941e-08
143;7.20998e-10
144;2.37884e-10
145;5.80754e-08
142;3.69254e-14
141;1.00918e-10
140;6.29176e-12
139;8.01595e-08
137;2.81629e-12
138;7.03501e-10
136;1.27968e-16
134;3.06734e-09
133;1.63807e-11
135;1.76439e-09
132;1.09302e-10
131;2.16071e-09
130;1.10398e-10
129;1.96043e-10
128;9.92911e-11
127;4.57437e-10
126;3.72874e-09
125;1.60009e-09
122;8.59766e-12
123;5.06368e-09
124;6.42159e-10
120;2.31485e-16
121;1.92338e-10
119;7.14868e-10
118;2.61275e-11
116;6.21451e-13
117;2.5116e-10
115;7.98415e-15
114;1.55716e-11
113;5.51389e-11
112;5.64147e-10
110;1.89279e-13
111;2.51072e-10
108;5.12677e-10
109;1.82686e-10
107;8.76347e-09
106;1.40473e-11
105;1.03284e-07
103;2.24389e-09
101;6.64244e-11
104;6.82951e-12
102;3.63285e-09
100;4.28892e-12
99;3.26621e-08
98;1.26514e-12
97;2.02762e-09
95;9.39277e-09
96;7.23785e-11
94;4.93783e-13
92;1.14585e-09
93;5.36176e-12
91;6.75068e-10
90;5.94105e-10
89;6.02783e-15
88;1.76947e-11
87;2.11123e-10
86;9.49588e-09
82;3.34813e-11
81;1.48558e-10
83;1.33381e-09
85;5.94534e-09
84;9.48261e-15
80;3.31776e-10
79;2.04523e-09
33;5.2401e-10
35;2.81825e-09
34;5.29103e-13
78;1.25314e-12
31;4.65179e-08
32;4.72757e-09
28;2.78948e-14
29;1.56813e-13
30;1.48771e-13
27;1.2509e-10
26;1.1852e-10
23;4.88181e-11
24;1.398e-13
25;7.22711e-13
21;1.41801e-08
16;nan
19;1.66886e-07
22;5.15909e-12
17;1.28408e-11
20;4.33829e-09
2;nan
18;1.21357e-09
3;2.16457e-11
5;6.99814e-14
4;1.89754e-08
1;2.12244e-10
0;1.53358e-10
9;nan
6;5.98309e-14
388;nan
14;nan
13;6.38594e-09
10;2.36701e-13
12;3.30714e-10
7;5.97333e-09
8;9.21485e-12
