seq_index;Pgen_estimate
106924;2.75158e-10
106923;1.205e-08
106922;5.21711e-10
106921;5.89036e-09
106920;9.81499e-10
106919;7.29152e-11
106918;3.04725e-09
106917;8.60129e-12
106916;nan
106915;nan
106914;1.13323e-09
106911;9.42266e-08
106912;1.6651e-13
106913;2.01804e-08
106910;2.15166e-07
106909;3.59863e-08
106908;5.31738e-10
106906;3.04232e-08
106907;8.89554e-10
106905;8.55591e-10
106903;4.28294e-11
106904;2.94927e-08
106901;3.02971e-09
106902;3.45567e-11
106897;nan
106900;4.14843e-10
106899;8.61641e-08
106896;1.3247e-11
106898;8.34667e-14
106895;2.71901e-09
106894;5.74581e-11
106891;3.88532e-09
106893;1.05545e-08
106892;1.47879e-12
106890;5.37051e-09
106889;1.2146e-09
106888;6.04027e-13
106887;7.31024e-13
106886;7.31024e-13
106885;1.4174e-08
106883;2.62525e-18
106882;3.47468e-09
106879;1.19209e-12
106884;2.42135e-08
106880;1.89928e-10
106881;8.25371e-11
106874;nan
106878;5.98418e-09
106876;3.66039e-12
106877;4.39939e-09
106869;nan
106873;8.80292e-10
106870;4.60914e-08
106872;1.1919e-09
106875;8.83796e-09
106867;4.69239e-10
106868;6.25742e-10
106871;5.80846e-14
106866;2.75648e-12
106865;6.63448e-11
106864;9.10332e-10
106862;6.05676e-10
106861;2.89368e-08
106860;1.02407e-09
106863;2.56472e-13
106859;1.5186e-08
106857;1.41773e-09
106858;1.99938e-10
106856;2.23169e-08
106855;4.35893e-11
106852;nan
106854;5.15856e-12
106853;1.53364e-10
106851;4.56682e-09
106849;2.2492e-09
106848;1.96926e-08
106850;5.31738e-10
106846;1.25789e-08
106847;3.3136e-08
106840;6.62334e-09
106845;2.11063e-12
106844;1.37431e-10
106843;2.46291e-08
106842;1.07054e-08
106841;5.02648e-10
106839;2.03379e-08
106837;2.136e-07
106838;6.7199e-09
106833;2.09815e-10
106835;4.81712e-09
106836;3.04212e-10
106831;5.22896e-10
106834;6.9075e-11
106832;3.67222e-08
106830;1.43644e-09
106828;5.95588e-10
106829;1.96622e-10
106826;1.11446e-08
