seq_index;Pgen_estimate
2942;1.78305e-12
2941;6.65122e-12
2940;2.94783e-13
2938;1.67661e-14
2939;3.71248e-14
2935;1.01082e-12
2936;9.9251e-11
2934;2.40481e-10
2933;5.94634e-12
2932;2.44004e-11
2937;2.13211e-14
2930;5.26029e-09
2929;2.92331e-13
2926;6.21558e-12
2923;1.66719e-12
2928;4.32821e-13
2925;7.60581e-16
2921;1.12146e-11
2924;1.33022e-14
2931;1.26995e-13
2922;5.57948e-12
2920;4.25357e-16
2927;1.86095e-10
2915;7.58997e-12
2918;3.38112e-13
2917;2.19596e-09
2919;2.63748e-09
2910;4.1826e-12
2914;1.60589e-10
2912;2.03673e-10
2911;1.91226e-14
2913;4.13709e-09
2909;3.11451e-09
2907;3.82021e-13
2906;1.24477e-11
2908;2.216e-10
2905;3.62757e-13
2916;4.47247e-09
2903;1.57466e-18
2901;1.36797e-13
2899;1.12054e-14
2902;4.991e-15
2904;3.48013e-17
2897;1.1085e-12
2894;1.79182e-16
2900;6.67533e-15
2893;2.71502e-14
2896;1.94456e-12
2898;6.38871e-14
2890;2.2613e-13
2895;7.36217e-13
2891;3.31513e-15
2887;8.6761e-14
2883;2.98179e-18
2882;2.52947e-11
2881;1.97198e-17
2889;1.97267e-17
2888;1.18539e-14
2877;nan
2884;3.30592e-18
2892;2.19815e-17
2879;7.35071e-16
2885;2.70096e-15
2878;8.9926e-17
2886;6.04644e-16
2876;7.50065e-16
2875;2.00332e-18
2880;2.64664e-20
2874;4.80418e-11
2869;1.87676e-10
2872;7.56081e-12
2868;2.75402e-10
2866;1.46389e-13
2871;6.84346e-13
2867;2.11454e-15
2863;5.96917e-12
2865;3.83391e-10
2864;3.8536e-11
2861;3.98511e-10
2870;3.82322e-13
2860;8.30764e-13
2857;3.81748e-15
2853;3.34943e-13
2854;4.96758e-11
2856;7.52556e-17
2852;1.81311e-17
2862;2.60143e-12
2873;7.6246e-19
2850;8.7793e-12
2847;9.51586e-16
2851;7.58013e-11
2849;1.66238e-10
2844;3.95383e-11
2848;2.18879e-14
2845;4.36269e-14
2846;2.95619e-14
2859;9.87972e-13
2843;1.18562e-11
2842;1.33963e-10
2840;4.44084e-10
2841;4.219e-12
2838;3.35579e-11
2836;4.86458e-10
2835;7.80685e-11
2833;3.4539e-14
2839;6.03946e-12
2837;7.02825e-16
2830;8.48765e-14
2831;1.25784e-10
2828;2.81852e-10
2832;8.45829e-11
2829;1.23786e-13
2834;4.59514e-10
2855;5.34004e-16
2858;8.18814e-12
