seq_index;Pgen_estimate
106924;5.96302e-10
106919;nan
106922;1.01673e-09
106918;2.01396e-10
106921;2.46014e-12
106915;7.30301e-14
106923;1.81566e-17
106914;3.93455e-13
106916;9.47836e-12
106913;1.21868e-12
106912;4.20583e-14
106911;3.91711e-12
106909;9.48233e-11
106917;1.94026e-17
106908;2.31132e-10
106907;1.21087e-09
106905;8.77677e-10
106904;5.28252e-12
106920;2.34773e-15
106906;1.02233e-15
106902;3.65664e-18
106899;1.20484e-09
106910;1.61564e-17
106903;4.17872e-13
106900;1.52143e-16
106898;2.52196e-12
106897;3.36604e-11
106895;5.03517e-10
106890;2.47598e-11
106893;8.30591e-13
106891;4.80378e-11
106888;1.30546e-11
106892;9.91274e-13
106889;5.65004e-12
106896;1.85898e-15
106887;1.30417e-13
106881;1.04851e-12
106885;7.28275e-12
106894;9.52875e-12
106882;4.43855e-12
106901;1.96824e-20
106880;7.52934e-11
106878;1.30546e-11
106886;6.3477e-12
106883;2.0997e-15
106876;7.68572e-11
106879;1.67591e-19
106874;9.47836e-12
106877;1.95191e-10
106873;2.11709e-11
106869;9.44315e-13
106868;3.98982e-12
106872;2.7916e-10
106867;5.58782e-11
106871;9.07863e-19
106870;5.22071e-14
106866;1.06726e-09
106861;3.74934e-15
106863;1.08312e-10
106865;5.80847e-16
106862;2.19584e-11
106858;1.09262e-10
106856;4.05716e-12
106860;6.95999e-14
106864;3.09221e-19
106854;1.5311e-14
106875;5.69464e-12
106857;3.32566e-19
106853;3.2112e-14
106859;7.31471e-11
106855;1.00608e-13
106849;1.17027e-11
106852;5.07998e-10
106850;2.19778e-20
106847;2.00495e-15
106845;5.9993e-14
106851;2.50127e-16
106844;5.68472e-16
106841;7.96211e-16
106843;1.90108e-16
106840;3.02869e-13
106839;2.14875e-16
106838;3.8378e-16
106836;9.41601e-13
106846;3.17992e-16
106834;4.1871e-13
106837;3.25058e-15
106842;3.24286e-14
106830;1.01082e-12
106848;3.52277e-19
106832;7.42171e-14
106831;5.18957e-13
106825;nan
106835;1.75183e-15
106833;1.0604e-09
106829;5.80847e-16
106828;1.02049e-14
106826;2.70577e-13
106823;8.05217e-12
106819;1.94445e-17
106822;3.81439e-17
106824;2.35247e-13
106884;1.86851e-20
106827;1.90385e-13
106821;3.58819e-18
106816;5.7518e-12
106813;1.24464e-13
106818;6.58929e-20
106817;5.46739e-10
106815;1.13712e-14
106820;2.89068e-14
106808;1.42673e-13
106805;nan
106811;2.4684e-12
106814;2.43478e-15
106807;5.49118e-10
106803;7.39991e-12
106810;1.20122e-14
106809;1.8753e-12
106802;3.85596e-09
106798;2.59499e-09
106804;4.24074e-12
106806;2.44245e-15
106797;3.49592e-13
106796;9.67574e-12
106800;6.06729e-12
106794;7.37748e-14
106793;3.56697e-17
106801;3.6336e-14
106791;9.0123e-18
106792;3.08358e-11
106795;6.42515e-13
106786;8.64281e-12
106799;5.25159e-15
106789;1.12516e-11
106787;2.87264e-14
106785;3.67732e-11
106790;2.281e-12
106783;7.30752e-12
106782;7.3062e-13
106784;1.52985e-12
106780;3.22167e-17
106788;1.12516e-11
106812;6.53918e-19
106779;8.56797e-11
106774;4.76085e-19
106775;1.30823e-12
106777;2.72579e-15
106771;1.73569e-09
106773;2.80573e-16
106769;3.32475e-14
106778;1.29479e-16
106768;7.44342e-13
106781;7.31982e-16
106776;1.9712e-16
106772;3.47453e-15
106763;2.26418e-13
106764;1.51623e-15
106765;5.73999e-13
106762;8.34035e-14
106770;5.70748e-14
106767;4.37612e-13
106758;1.54625e-14
106756;6.98312e-14
106760;3.30585e-14
