seq_index;Pgen_estimate
9999;1.12479e-08
9997;2.2764e-07
9998;1.27331e-09
9996;4.42503e-10
9995;8.82752e-11
9993;4.80175e-08
9994;2.34993e-09
9992;6.20141e-09
9991;7.45776e-09
9990;5.37498e-08
9989;7.60274e-09
9987;4.06046e-09
9988;3.21649e-14
9986;7.00377e-08
9985;1.20992e-07
9984;1.18331e-08
9981;4.40526e-08
9983;1.75439e-09
9979;nan
9982;8.51485e-07
9980;3.02185e-10
9978;1.91047e-08
9976;1.71481e-09
9977;8.21724e-10
9974;1.04081e-07
9975;1.23764e-06
9971;1.19335e-06
9973;3.31902e-12
9972;3.46624e-09
9970;4.69994e-12
9968;2.96018e-08
9969;7.15056e-09
9964;4.83627e-08
9966;2.02518e-09
9965;2.09406e-12
9962;7.68216e-12
9967;2.60443e-08
9961;2.76092e-08
9959;1.26223e-07
9963;2.14556e-07
9960;1.5693e-08
9955;nan
9956;2.14999e-09
9957;3.24637e-08
9958;2.70962e-07
9953;1.41734e-08
9954;9.00212e-11
9952;1.80658e-09
9947;nan
9950;5.73012e-09
9951;2.71313e-12
9949;2.84234e-08
9948;1.0827e-10
9946;1.49911e-08
9944;1.31944e-09
9945;8.06531e-10
9943;6.3891e-09
9942;1.5395e-08
9941;9.16898e-08
9936;nan
9940;1.68392e-07
9938;3.94803e-11
9939;5.12784e-15
9937;8.65654e-08
9935;6.08912e-09
9934;1.99622e-07
9931;nan
9929;nan
9933;2.15866e-08
9930;2.10204e-07
9927;2.00375e-10
9932;2.64588e-07
9928;5.15764e-09
9926;2.59327e-08
9921;nan
9925;1.92963e-08
9923;3.8765e-09
9922;1.31756e-08
9924;9.39112e-09
9919;8.11399e-09
9920;2.859e-08
9916;1.95598e-08
9918;5.51196e-12
9917;1.21911e-07
9915;6.94612e-08
9913;1.03364e-07
9912;3.32543e-08
9914;6.84253e-17
9911;3.60176e-09
9910;6.30003e-09
9906;nan
9907;3.47492e-10
9909;1.19708e-12
9908;4.75755e-08
9905;6.86804e-09
9901;nan
9904;1.71201e-08
9902;1.33672e-08
9898;2.23289e-10
9899;2.21174e-08
9903;1.34445e-08
9900;8.9062e-08
9897;6.78995e-08
9894;1.17826e-09
9896;1.91417e-08
9892;7.27182e-12
9891;6.71999e-08
9890;1.92312e-10
9895;2.23513e-17
9893;4.70797e-10
9887;2.44883e-08
9888;7.4643e-10
9885;2.66019e-13
9889;1.66072e-07
9886;2.94161e-09
9880;nan
9883;2.60585e-09
9884;1.87405e-08
9882;1.70397e-08
9881;1.17217e-07
9879;1.26058e-07
9875;1.68696e-10
9877;5.44589e-09
9876;9.97759e-08
9878;3.60072e-07
9874;2.39821e-10
9873;6.70301e-09
9872;9.78359e-09
9869;5.45619e-08
9871;2.34465e-10
9870;1.95221e-08
9868;2.37312e-08
9867;6.38515e-11
9865;1.43542e-08
9864;7.31508e-14
9866;3.93641e-07
9863;5.84812e-15
9862;3.49436e-10
9861;2.97077e-08
9859;6.03845e-09
9860;4.36522e-09
9858;8.02262e-12
9857;1.19027e-07
9856;5.22389e-08
9854;2.15039e-11
9853;4.47828e-10
9852;2.02645e-10
9855;4.30288e-10
9851;4.29451e-08
9846;2.17125e-08
9849;3.84132e-08
9848;1.11081e-13
9847;6.1105e-08
9850;5.21098e-08
9843;1.83045e-07
9844;3.29864e-10
9845;1.08345e-07
9838;6.8141e-08
9841;3.60023e-11
9840;2.67209e-09
9842;7.238e-07
9839;1.26296e-08
9835;9.47222e-08
9837;5.00138e-11
9834;8.49428e-09
9833;4.69841e-08
9829;nan
9836;6.57245e-17
9832;4.32791e-13
9830;3.19823e-08
9825;4.93128e-09
9831;4.74076e-11
9828;5.35774e-09
9827;1.14689e-07
9826;6.28002e-09
9823;1.3295e-08
9821;5.28898e-10
9820;8.29861e-07
9822;8.05199e-13
9819;1.56487e-07
9815;2.95943e-10
9818;5.18888e-19
9816;3.41587e-08
9817;6.26605e-07
9824;1.51742e-10
9814;4.31138e-07
9813;1.32819e-10
9811;4.0835e-07
9810;9.27863e-09
9812;5.37166e-09
9807;1.47957e-07
