seq_index;Pgen_estimate
9997;6.98598e-11
9996;2.13473e-10
9995;4.35751e-13
9991;5.06998e-09
9994;1.34901e-11
9990;8.64628e-11
9993;4.04654e-12
9998;3.5099e-09
9987;1.74264e-09
9989;2.99393e-16
9992;1.82671e-17
9985;3.80857e-09
9986;7.37094e-15
9984;7.54715e-12
9982;1.54674e-12
9983;3.56208e-09
9988;6.28131e-12
9999;1.37092e-12
9979;6.83845e-09
9976;7.13033e-10
9980;1.25526e-15
9974;2.604e-13
9978;1.22782e-16
9972;5.98418e-10
9969;2.24347e-12
9975;1.2299e-14
9968;2.80659e-13
9973;5.47713e-19
9981;6.07974e-16
9970;4.89743e-13
9967;9.62747e-15
9963;2.26115e-15
9977;7.87385e-14
9962;5.99261e-09
9971;7.46165e-17
9965;1.9433e-11
9957;2.10548e-09
9960;2.83623e-11
9959;2.05219e-09
9964;5.09316e-13
9961;4.11928e-16
9955;3.36964e-10
9958;2.54009e-11
9951;2.57704e-13
9950;1.60836e-11
9966;2.20556e-13
9952;1.76473e-16
9945;8.87168e-11
9947;1.22115e-14
9946;4.39324e-11
9956;3.8316e-14
9949;1.1005e-14
9944;4.18018e-11
9954;1.32809e-14
9940;1.0013e-13
9942;6.47272e-10
9941;9.26877e-10
9938;5.03024e-15
9939;2.40814e-15
9937;4.28516e-13
9935;2.47373e-12
9936;5.02809e-14
9933;3.30011e-08
9931;3.83928e-09
9943;2.65622e-18
9934;1.85381e-19
9929;1.955e-12
9925;4.99519e-10
9928;6.49145e-10
9923;1.5204e-11
9932;3.44371e-14
9927;3.82549e-14
9930;1.66017e-12
9919;3.23328e-11
9920;6.39707e-13
9924;2.06684e-15
9918;2.49327e-11
9926;2.53294e-16
9915;2.20013e-14
9916;2.2124e-13
9913;1.7178e-12
9921;8.46821e-16
9917;4.31932e-16
9912;2.17425e-15
9953;4.76936e-23
9908;7.52167e-11
9909;9.48459e-09
9911;7.91033e-11
9905;5.08756e-12
9910;9.28234e-18
9904;1.44717e-13
9914;9.18565e-14
9902;1.78766e-26
9907;1.44758e-12
9948;1.21683e-18
9903;2.71825e-17
9900;1.54641e-10
9896;4.44646e-10
9894;nan
9899;1.22122e-09
9897;1.50223e-10
9892;2.12408e-11
9890;1.48902e-11
9922;4.02789e-17
9893;2.4572e-11
9901;1.56261e-17
9889;8.92622e-12
9898;3.98589e-11
9888;3.40608e-13
9891;4.6069e-13
9886;5.20605e-11
9884;1.32543e-10
9883;2.63328e-12
9885;1.49907e-14
9882;1.70191e-09
9879;2.40765e-12
9880;1.33973e-13
9895;1.61088e-17
9906;1.54141e-21
9881;1.42651e-09
9887;2.5399e-14
9874;5.43301e-13
9877;2.78933e-12
9878;3.43294e-14
9870;1.07292e-09
9871;2.14619e-14
9875;2.74868e-12
9868;7.0485e-19
9866;2.52312e-16
9873;8.44687e-16
9872;7.2686e-14
9876;1.70686e-14
9865;6.38978e-17
9863;1.13013e-11
9860;6.68828e-10
9861;4.78981e-11
9859;4.97953e-17
9864;1.46817e-12
9857;9.89739e-12
9867;1.19522e-14
9852;4.68162e-13
9869;9.72493e-16
9858;2.15662e-15
9855;4.35498e-15
9853;6.09327e-14
9862;1.35515e-11
9856;9.5734e-15
9850;1.99762e-10
9848;8.82056e-12
9851;4.76207e-14
9847;2.15463e-11
9844;1.98083e-10
9854;1.45798e-14
9842;7.22031e-15
9849;1.63554e-09
9841;5.75069e-12
9837;6.68934e-13
9843;5.15184e-13
9839;3.51858e-16
9838;2.09364e-13
9845;nan
9834;9.20438e-12
9840;5.02052e-10
9833;1.17371e-10
9832;3.66889e-15
9835;5.87017e-19
9826;2.20754e-15
9830;1.01827e-11
9825;3.02918e-10
9827;2.37107e-14
9836;9.43071e-18
9823;6.97775e-10
9846;7.45385e-16
9824;4.50729e-11
9831;1.2806e-16
9828;3.65264e-13
9829;1.59152e-19
9821;2.77057e-14
9819;9.68077e-11
9820;2.31812e-15
9815;5.56538e-13
9816;1.45294e-14
9813;9.43849e-15
9814;2.58284e-11
9811;2.34403e-12
9817;4.94737e-15
9822;1.90301e-15
